##########对EK和PR进行时间测试##########
节点数量从5到20
边数与节点数量的比例从1.2到5
每种参数生成10个图进行测试
每个图进行10次测试

节点数	边数	EK用时	PR用时
5	7	0.39	0.5
5	8	0.36	0.52
5	9	0.35	0.58
5	10	0.32	0.46
5	11	0.7	0.9
5	12	0.54	0.62
5	13	0.54	0.59
5	14	0.47	0.55
5	15	0.53	0.59
5	16	0.54	0.63
5	17	0.49	0.65
5	18	0.63	0.78
5	19	0.65	0.79
5	20	0.56	0.62
5	21	0.73	0.94
5	22	0.61	0.78
5	23	0.55	0.64
5	24	0.75	0.8
5	25	0.94	1.06
6	8	0.46	0.64
6	9	0.37	0.52
6	10	0.63	1.04
6	11	0.57	1.04
6	12	0.45	0.66
6	13	0.58	0.8
6	14	0.47	0.7
6	15	0.47	0.79
6	16	0.68	0.91
6	17	0.57	0.82
6	18	0.7	0.9
6	19	0.54	0.77
6	20	0.49	0.96
6	21	0.72	1.05
6	22	0.79	0.97
6	23	0.67	0.81
6	24	0.82	1.12
6	25	0.64	1.18
6	26	0.77	1.01
6	27	0.91	1.26
6	28	0.78	0.94
6	29	1.1	1.84
6	30	0.95	1.38
7	9	0.68	1.35
7	10	0.56	0.8
7	11	0.49	0.85
7	12	0.44	0.81
7	13	0.49	0.85
7	14	0.63	1.24
7	15	0.75	1.18
7	16	0.5	0.84
7	17	0.54	1
7	18	0.49	0.71
7	19	0.55	0.89
7	20	0.75	0.92
7	21	0.59	1.08
7	22	0.82	1.51
7	23	1.01	1.53
7	24	0.91	1.44
7	25	0.89	1.45
7	26	0.84	1.1
7	27	0.98	1.36
7	28	1.05	2.01
7	29	0.88	1.13
7	30	0.88	1.84
7	31	1.27	1.9
7	32	1.05	1.99
7	33	1.25	1.86
7	34	0.95	1.81
7	35	0.96	1.18
8	10	0.44	0.65
8	11	0.78	1.34
8	12	0.51	0.78
8	13	0.49	0.99
8	14	0.5	1.12
8	15	0.64	1.54
8	16	0.65	1.22
8	17	0.72	1.25
8	18	0.72	1.09
8	19	0.63	1.06
8	20	0.58	1.2
8	21	0.62	1.04
8	22	0.72	1.27
8	23	0.67	1.89
8	24	0.78	1.3
8	25	0.69	0.94
8	26	0.61	1.08
8	27	0.78	1.15
8	28	1.13	1.42
8	29	0.76	2.22
8	30	1.13	1.53
8	31	0.79	1.8
8	32	0.87	1.43
8	33	1	1.26
8	34	0.83	1.17
8	35	1.4	2.78
8	36	1.06	2.24
8	37	1.28	1.51
8	38	1.26	1.9
8	39	1.22	1.62
8	40	1.18	2.46
9	11	0.52	0.86
9	12	0.53	1.07
9	13	0.51	1.07
9	14	0.6	1.32
9	15	0.63	1.36
9	16	0.76	1.25
9	17	0.56	1.07
9	18	0.55	1.15
9	19	0.77	2.07
9	20	0.64	1.4
9	21	0.74	1.37
9	22	0.63	1.06
9	23	0.79	1.49
9	24	0.69	1.85
9	25	0.92	1.35
9	26	1.01	2.46
9	27	0.89	2.44
9	28	0.78	1.69
9	29	1.07	2.15
